,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Total Growth 2000–2021
,,,,,,,,,,,,,,,,,,,,,,,
"Total GHG Emissions Including Electricity (Mt of CO2e)a,b,d,e,f",466.4,464.6,470.6,488.4,491.8,486.0,477.1,503.4,489.3,466.0,480.9,487.0,479.6,484.1,484.0,488.9,479.6,491.9,506.9,510.6,446.4,458.6,-1.7%
,,,,,,,,,,,,,,,,,,,,,,,
"Residential (Mt of CO2e)a,b,e",74.6,74.2,75.8,78.6,77.2,75.1,71.5,78.2,75.7,71.5,70.5,69.9,64.8,66.5,65.7,66.4,62.4,62.8,63.1,61.5,57.1,55.3,-25.8%
Space Heating,46.2,43.3,45.5,47.5,47.2,45.4,42.6,48.4,47.9,45.7,43.1,44.4,40.2,42.9,43.4,42.7,40.0,40.9,41.9,41.3,36.9,35.2,-23.8%
Water Heating,13.8,14.3,14.2,14.6,14.4,14.2,14.1,14.5,13.8,13.0,13.3,13.2,12.6,12.4,11.7,12.1,11.7,11.7,11.6,11.1,11.3,11.1,-19.7%
Appliances,10.5,11.5,11.0,11.5,11.1,10.4,10.3,10.6,10.0,9.2,9.5,8.5,8.1,8.0,7.7,8.1,7.4,7.2,6.6,6.6,6.3,6.3,-40.3%
Major Appliances,7.8,8.4,7.9,8.1,7.7,7.1,6.9,7.0,6.5,5.9,5.9,5.1,4.8,4.6,4.4,4.6,4.1,4.0,3.6,3.5,3.4,3.3,-57.2%
Other Appliances1,2.7,3.1,3.1,3.4,3.4,3.3,3.4,3.6,3.5,3.4,3.7,3.4,3.3,3.4,3.3,3.5,3.2,3.2,3.0,3.0,2.9,2.9,9.5%
Lighting,3.3,3.7,3.5,3.7,3.6,3.3,3.2,3.2,3.0,2.8,2.9,2.5,2.3,2.2,2.1,2.2,1.9,1.9,1.6,1.6,1.5,1.5,-53.3%
Space Cooling,0.8,1.4,1.6,1.3,1.0,1.8,1.4,1.5,1.0,0.8,1.6,1.4,1.5,1.0,0.9,1.3,1.4,1.1,1.3,0.9,1.2,1.2,53.8%
,,,,,,,,,,,,,,,,,,,,,,,
